description	n_missing	n_non_missing	PHESANT_transformation	n_cases	n_controls	variable_type	source	notes	phenotype	raymond_both_sexes_qc	dominance_qc	dominance_qc_no_ordinal
Workplace very hot: Often	271029	90165	22608_0 || CAT-MUL-BINARY-VAR 2 || NO_NAN Remove NA participants 270293 || Removed 737 examples != 2 but with missing value (<0) || sample 79996/10169(90165) || SKIP_val:-121 < 0 ||	10169	79996	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was it very hot?"" Participants were allowed to skip answering this question."	22608_2	TRUE	TRUE	TRUE
Workplace very dusty: Rarely/never	270651	90543	22609_0 || CAT-MUL-BINARY-VAR 0 || NO_NAN Remove NA participants 270347 || Removed 304 examples != 0 but with missing value (<0) || sample 9081/81462(90543) ||	81462	9081	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was it very dusty?"" Participants were allowed to skip answering this question."	22609_0	TRUE	TRUE	TRUE
Workplace very dusty: Sometimes	271229	89965	22609_0 || CAT-MUL-BINARY-VAR 1 || NO_NAN Remove NA participants 270347 || Removed 882 examples != 1 but with missing value (<0) || sample 58379/31586(89965) || SKIP_val:-121 < 0 ||	31586	58379	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was it very dusty?"" Participants were allowed to skip answering this question."	22609_1	TRUE	TRUE	TRUE
Workplace very dusty: Often	271563	89631	22609_0 || CAT-MUL-BINARY-VAR 2 || NO_NAN Remove NA participants 270347 || Removed 1217 examples != 2 but with missing value (<0) || sample 80070/9561(89631) ||	9561	80070	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was it very dusty?"" Participants were allowed to skip answering this question."	22609_2	TRUE	TRUE	TRUE
Workplace full of chemical or other fumes: Rarely/never	270850	90344	22610_0 || CAT-MUL-BINARY-VAR 0 || NO_NAN Remove NA participants 270338 || Removed 512 examples != 0 but with missing value (<0) || sample 4986/85358(90344) ||	85358	4986	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was it full of chemical or other fumes?"" Participants were allowed to skip answering this question."	22610_0	TRUE	TRUE	TRUE
Workplace full of chemical or other fumes: Sometimes	272134	89060	22610_0 || CAT-MUL-BINARY-VAR 1 || NO_NAN Remove NA participants 270338 || Removed 1797 examples != 1 but with missing value (<0) || sample 67351/21709(89060) ||	21709	67351	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was it full of chemical or other fumes?"" Participants were allowed to skip answering this question."	22610_1	TRUE	TRUE	TRUE
Workplace full of chemical or other fumes: Often	272459	88735	22610_0 || CAT-MUL-BINARY-VAR 2 || NO_NAN Remove NA participants 270338 || Removed 2122 examples != 2 but with missing value (<0) || sample 82863/5872(88735) || SKIP_val:-121 < 0 ||	5872	82863	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was it full of chemical or other fumes?"" Participants were allowed to skip answering this question."	22610_2	TRUE	TRUE	TRUE
Workplace had a lot of cigarette smoke from other people smoking: Rarely/never	270478	90716	22611_0 || CAT-MUL-BINARY-VAR 0 || NO_NAN Remove NA participants 270296 || Removed 182 examples != 0 but with missing value (<0) || sample 13422/77294(90716) ||	77294	13422	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was there a lot of cigarette smoke from other people smoking?"" Participants were allowed to skip answering this question."	22611_0	TRUE	TRUE	TRUE
Workplace had a lot of cigarette smoke from other people smoking: Sometimes	271026	90168	22611_0 || CAT-MUL-BINARY-VAR 1 || NO_NAN Remove NA participants 270296 || Removed 730 examples != 1 but with missing value (<0) || sample 45115/45053(90168) ||	45053	45115	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was there a lot of cigarette smoke from other people smoking?"" Participants were allowed to skip answering this question."	22611_1	TRUE	TRUE	TRUE
Workplace had a lot of cigarette smoke from other people smoking: Often	271391	89803	22611_0 || CAT-MUL-BINARY-VAR 2 || NO_NAN Remove NA participants 270296 || Removed 1096 examples != 2 but with missing value (<0) || sample 74862/14941(89803) || SKIP_val:-121 < 0 ||	14941	74862	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was there a lot of cigarette smoke from other people smoking?"" Participants were allowed to skip answering this question."	22611_2	TRUE	TRUE	TRUE
Worked with materials containing asbestos: Rarely/never	275526	85668	22612_0 || CAT-MUL-BINARY-VAR 0 || NO_NAN Remove NA participants 270383 || Removed 5143 examples != 0 but with missing value (<0) || sample 2162/83506(85668) || SKIP_val:-121 < 0 ||	83506	2162	binary	phesant	"Participant asked ""Thinking about the place where you worked: Did you work with materials containing asbestos?"" Participants were allowed to skip answering this question."	22612_0	TRUE	FALSE	FALSE
Worked with materials containing asbestos: Sometimes	283833	77361	22612_0 || CAT-MUL-BINARY-VAR 1 || NO_NAN Remove NA participants 270383 || Removed 13450 examples != 1 but with missing value (<0) || sample 68964/8397(77361) ||	8397	68964	binary	phesant	"Participant asked ""Thinking about the place where you worked: Did you work with materials containing asbestos?"" Participants were allowed to skip answering this question."	22612_1	TRUE	TRUE	TRUE
Worked with materials containing asbestos: Often	284737	76457	22612_0 || CAT-MUL-BINARY-VAR 2 || NO_NAN Remove NA participants 270383 || Removed 14356 examples != 2 but with missing value (<0) || sample 75195/1262(76457) ||	1262	75195	binary	phesant	"Participant asked ""Thinking about the place where you worked: Did you work with materials containing asbestos?"" Participants were allowed to skip answering this question."	22612_2	TRUE	FALSE	FALSE
Worked with paints, thinners or glues: Rarely/never	270805	90389	22613_0 || CAT-MUL-BINARY-VAR 0 || NO_NAN Remove NA participants 270332 || Removed 473 examples != 0 but with missing value (<0) || sample 3593/86796(90389) ||	86796	3593	binary	phesant	"Participant asked ""Thinking about the place where you worked: Did you work with paints, thinners or glues?"" Participants were allowed to skip answering this question."	22613_0	TRUE	TRUE	TRUE
Worked with paints, thinners or glues: Sometimes	272191	89003	22613_0 || CAT-MUL-BINARY-VAR 1 || NO_NAN Remove NA participants 270332 || Removed 1859 examples != 1 but with missing value (<0) || sample 74908/14095(89003) || SKIP_val:-121 < 0 ||	14095	74908	binary	phesant	"Participant asked ""Thinking about the place where you worked: Did you work with paints, thinners or glues?"" Participants were allowed to skip answering this question."	22613_1	TRUE	TRUE	TRUE
Worked with paints, thinners or glues: Often	272476	88718	22613_0 || CAT-MUL-BINARY-VAR 2 || NO_NAN Remove NA participants 270332 || Removed 2145 examples != 2 but with missing value (<0) || sample 84995/3723(88718) ||	3723	84995	binary	phesant	"Participant asked ""Thinking about the place where you worked: Did you work with paints, thinners or glues?"" Participants were allowed to skip answering this question."	22613_2	TRUE	TRUE	TRUE
Worked with pesticides: Rarely/never	271049	90145	22614_0 || CAT-MUL-BINARY-VAR 0 || NO_NAN Remove NA participants 270407 || Removed 642 examples != 0 but with missing value (<0) || sample 534/89611(90145) ||	89611	534	binary	phesant	"Participant asked ""Thinking about the place where you worked: Did you work with pesticides?"" Participants were allowed to skip answering this question."	22614_0	TRUE	FALSE	FALSE
Worked with pesticides: Sometimes	273053	88141	22614_0 || CAT-MUL-BINARY-VAR 1 || NO_NAN Remove NA participants 270407 || Removed 2648 examples != 1 but with missing value (<0) || sample 84756/3385(88141) || SKIP_val:-121 < 0 ||	3385	84756	binary	phesant	"Participant asked ""Thinking about the place where you worked: Did you work with pesticides?"" Participants were allowed to skip answering this question."	22614_1	TRUE	TRUE	TRUE
Worked with pesticides: Often	273175	88019	22614_0 || CAT-MUL-BINARY-VAR 2 || NO_NAN Remove NA participants 270407 || Removed 2771 examples != 2 but with missing value (<0) || sample 87495/524(88019) ||	524	87495	binary	phesant	"Participant asked ""Thinking about the place where you worked: Did you work with pesticides?"" Participants were allowed to skip answering this question."	22614_2	TRUE	FALSE	FALSE
Workplace had a lot of diesel exhaust: Rarely/never	270818	90376	22615_0 || CAT-MUL-BINARY-VAR 0 || NO_NAN Remove NA participants 270410 || Removed 408 examples != 0 but with missing value (<0) || sample 2678/87698(90376) ||	87698	2678	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was there a lot of diesel exhaust?"" Participants were allowed to skip answering this question."	22615_0	TRUE	FALSE	FALSE
Workplace had a lot of diesel exhaust: Sometimes	271884	89310	22615_0 || CAT-MUL-BINARY-VAR 1 || NO_NAN Remove NA participants 270410 || Removed 1474 examples != 1 but with missing value (<0) || sample 76272/13038(89310) || SKIP_val:-121 < 0 ||	13038	76272	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was there a lot of diesel exhaust?"" Participants were allowed to skip answering this question."	22615_1	TRUE	TRUE	TRUE
Workplace had a lot of diesel exhaust: Often	272090	89104	22615_0 || CAT-MUL-BINARY-VAR 2 || NO_NAN Remove NA participants 270410 || Removed 1680 examples != 2 but with missing value (<0) || sample 85621/3483(89104) ||	3483	85621	binary	phesant	"Participant asked ""Thinking about the place where you worked: Was there a lot of diesel exhaust?"" Participants were allowed to skip answering this question."	22615_2	TRUE	TRUE	TRUE
Breathing problems during period of job: No	270045	91149	22616_0 || CAT-MUL-BINARY-VAR 0 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 0 but with missing value (<0) || sample 1558/89591(91149) ||	89591	1558	binary	phesant	"Particpant asked: ""When you had this job, did you have problems with your breathing?"""	22616_0	TRUE	FALSE	FALSE
Breathing problems during period of job: Yes	270045	91149	22616_0 || CAT-MUL-BINARY-VAR 1 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1 but with missing value (<0) || sample 84452/6697(91149) ||	6697	84452	binary	phesant	"Particpant asked: ""When you had this job, did you have problems with your breathing?"""	22616_1	TRUE	TRUE	TRUE
Job SOC coding: Senior officials in national government	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1111 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1111 but with missing value (<0) || sample 90296/853(91149) ||	853	90296	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1111	TRUE	FALSE	FALSE
Job SOC coding: Directors and chief executives of major organisations	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1112 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1112 but with missing value (<0) || sample 88360/2789(91149) ||	2789	88360	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1112	TRUE	FALSE	FALSE
Job SOC coding: Senior officials in local government	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1113 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1113 but with missing value (<0) || sample 89872/1277(91149) ||	1277	89872	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1113	TRUE	FALSE	FALSE
Job SOC coding: Senior officials of special interest organisations	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1114 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1114 but with missing value (<0) || sample 89024/2125(91149) ||	2125	89024	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1114	TRUE	FALSE	FALSE
Job SOC coding: Production, works and maintenance managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1121 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1121 but with missing value (<0) || sample 90218/931(91149) ||	931	90218	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1121	TRUE	FALSE	FALSE
Job SOC coding: Managers in construction	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1122 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1122 but with missing value (<0) || sample 90089/1060(91149) ||	1060	90089	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1122	TRUE	FALSE	FALSE
Job SOC coding: Managers in mining and energy	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1123 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1123 but with missing value (<0) || sample 90831/318(91149) ||	318	90831	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1123	TRUE	FALSE	FALSE
Job SOC coding: Financial managers and chartered secretaries	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1131 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1131 but with missing value (<0) || sample 90894/255(91149) ||	255	90894	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1131	TRUE	FALSE	FALSE
Job SOC coding: Marketing and sales managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1132 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1132 but with missing value (<0) || sample 88900/2249(91149) ||	2249	88900	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1132	TRUE	FALSE	FALSE
Job SOC coding: Purchasing managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1133 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1133 but with missing value (<0) || sample 90876/273(91149) ||	273	90876	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1133	TRUE	FALSE	FALSE
Job SOC coding: Advertising and public relations managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1134 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1134 but with missing value (<0) || sample 90541/608(91149) ||	608	90541	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1134	TRUE	FALSE	FALSE
Job SOC coding: Personnel, training and industrial relations managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1135 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1135 but with missing value (<0) || sample 89980/1169(91149) ||	1169	89980	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1135	TRUE	FALSE	FALSE
Job SOC coding: Information and communication technology managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1136 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1136 but with missing value (<0) || sample 89515/1634(91149) ||	1634	89515	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1136	TRUE	FALSE	FALSE
Job SOC coding: Research and development managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1137 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1137 but with missing value (<0) || sample 89873/1276(91149) ||	1276	89873	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1137	TRUE	FALSE	FALSE
Job SOC coding: Quality assurance managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1141 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1141 but with missing value (<0) || sample 90754/395(91149) ||	395	90754	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1141	TRUE	FALSE	FALSE
Job SOC coding: Customer care managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1142 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1142 but with missing value (<0) || sample 90614/535(91149) ||	535	90614	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1142	TRUE	FALSE	FALSE
Job SOC coding: Financial institution managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1151 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1151 but with missing value (<0) || sample 89829/1320(91149) ||	1320	89829	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1151	TRUE	FALSE	FALSE
Job SOC coding: Office managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1152 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1152 but with missing value (<0) || sample 90028/1121(91149) ||	1121	90028	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1152	TRUE	FALSE	FALSE
Job SOC coding: Transport and distribution managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1161 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1161 but with missing value (<0) || sample 90642/507(91149) ||	507	90642	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1161	TRUE	FALSE	FALSE
Job SOC coding: Storage and warehouse managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1162 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1162 but with missing value (<0) || sample 90963/186(91149) ||	186	90963	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1162	TRUE	FALSE	FALSE
Job SOC coding: Retail and wholesale managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1163 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1163 but with missing value (<0) || sample 89396/1753(91149) ||	1753	89396	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1163	TRUE	FALSE	FALSE
Job SOC coding: Officers in armed forces	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1171 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1171 but with missing value (<0) || sample 90570/579(91149) ||	579	90570	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1171	TRUE	FALSE	FALSE
Job SOC coding: Police officers (inspectors and above)	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1172 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1172 but with missing value (<0) || sample 90780/369(91149) ||	369	90780	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1172	TRUE	FALSE	FALSE
Job SOC coding: Senior officers in fire, ambulance, prison and related services	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1173 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1173 but with missing value (<0) || sample 90913/236(91149) ||	236	90913	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1173	TRUE	FALSE	FALSE
Job SOC coding: Hospital and health service managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1181 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1181 but with missing value (<0) || sample 90179/970(91149) ||	970	90179	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1181	TRUE	FALSE	FALSE
Job SOC coding: Healthcare practice managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1183 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1183 but with missing value (<0) || sample 90958/191(91149) ||	191	90958	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1183	TRUE	FALSE	FALSE
Job SOC coding: Social services managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1184 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1184 but with missing value (<0) || sample 90403/746(91149) ||	746	90403	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1184	TRUE	FALSE	FALSE
Job SOC coding: Residential and day care managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1185 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1185 but with missing value (<0) || sample 90775/374(91149) ||	374	90775	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1185	TRUE	FALSE	FALSE
Job SOC coding: Farm managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1211 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1211 but with missing value (<0) || sample 90980/169(91149) ||	169	90980	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1211	TRUE	FALSE	FALSE
Job SOC coding: Hotel and accommodation managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1221 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1221 but with missing value (<0) || sample 90747/402(91149) ||	402	90747	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1221	TRUE	FALSE	FALSE
Job SOC coding: Conference and exhibition managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1222 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1222 but with missing value (<0) || sample 91045/104(91149) ||	104	91045	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1222	TRUE	FALSE	FALSE
Job SOC coding: Restaurant and catering managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1223 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1223 but with missing value (<0) || sample 90579/570(91149) ||	570	90579	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1223	TRUE	FALSE	FALSE
Job SOC coding: Publicans and managers of licensed premises	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1224 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1224 but with missing value (<0) || sample 90728/421(91149) ||	421	90728	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1224	TRUE	FALSE	FALSE
Job SOC coding: Leisure and sports managers	270045	91149	22617_0 || CAT-MUL-BINARY-VAR 1225 || NO_NAN Remove NA participants 270045 || Removed 0 examples != 1225 but with missing value (<0) || sample 90791/358(91149) ||	358	90791	binary	phesant	Each self-coded job group was mapped to a 4-digit SOC2003 coding. In some cases several self-coded job groups map to the same SOC2003 coding as the input interface was designed to help untrained users classify their job according to the criteria/paths that would seem most natural to them. It was not thought practical to ask participants to code their job to the more detailed levels of the SOC2003 coding.	22617_1225	TRUE	FALSE	FALSE
